participant,trial,H_e,valence,arousal,n_windows,n_flagged,flagged_fraction,any_flagged
s01,0,2.753189624213888,1.29,1.4000000000000004,29,0,0.0,0
s01,3,2.752240747593366,4.94,6.01,29,0,0.0,0
s01,4,2.6056744114416963,6.96,3.92,29,0,0.0,0
s01,5,2.7243602017161552,8.27,3.92,29,0,0.0,0
s01,6,2.7769924322993402,7.44,3.73,29,0,0.0,0
s01,7,2.880788562842062,7.32,2.55,29,0,0.0,0
s01,8,2.989357107179173,4.04,3.29,29,0,0.0,0
s01,9,2.7720865838960633,1.99,4.86,29,0,0.0,0
s01,10,2.789577272609727,2.99,2.36,29,0,0.0,0
s01,11,2.820570238118937,2.71,2.77,29,0,0.0,0
s01,12,2.8673733791541687,1.95,3.12,29,0,0.0,0
s01,13,2.932792498509685,4.18,2.24,29,0,0.0,0
s01,14,2.7735104850489902,3.17,8.08,29,0,0.0,0
s01,15,2.710137742532184,2.1900000000000004,1.5599999999999996,29,0,0.0,0
s01,16,2.6739632971378056,2.46,6.91,29,0,0.0,0
s01,17,2.708748944326369,1.7699999999999996,1.8499999999999996,29,0,0.0,0
s01,18,2.8322127833300987,1.83,1.0,29,0,0.0,0
s01,21,2.8096624064736395,7.09,2.08,29,0,0.0,0
s01,22,2.7648131518708494,8.15,3.01,29,0,0.0,0
s01,23,2.7193283487446993,1.96,1.9100000000000001,29,0,0.0,0
s01,25,2.8884758328200872,1.7199999999999998,1.7300000000000004,29,0,0.0,0
s01,26,2.9322165414517345,1.6500000000000004,2.05,29,0,0.0,0
s01,27,2.7905698774852645,3.88,3.35,29,0,0.0,0
s01,28,2.694046708588165,1.36,2.27,29,0,0.0,0
s01,29,2.8325705101379386,2.08,2.99,29,0,0.0,0
s01,30,2.6704744174162345,3.03,8.14,29,0,0.0,0
s01,31,2.807454940321121,2.28,8.0,29,0,0.0,0
s01,32,2.8407774352373414,3.81,3.85,29,0,0.0,0
s01,33,2.789152477491778,2.28,7.09,29,0,0.0,0
s01,34,2.6808932370200695,2.06,8.15,29,0,0.0,0
s01,35,2.842552286597593,2.9,6.92,29,0,0.0,0
s01,36,2.855690180613547,2.31,6.88,29,0,0.0,0
s01,37,2.7488649741725917,3.33,7.18,29,0,0.0,0
s01,38,2.6844796009213496,3.24,6.18,29,0,0.0,0
s01,39,2.6483424308383263,3.9000000000000004,1.88,29,0,0.0,0
s02,3,3.6205518039694575,6.05,1.0,29,0,0.0,0
s02,4,3.6594263807794696,5.04,3.0,29,0,0.0,0
s02,5,3.9544996635748166,5.0,4.94,29,0,0.0,0
s02,6,3.5935402547118547,4.96,1.99,29,0,0.0,0
s02,9,3.5949219951629265,4.99,1.0,29,0,0.0,0
s02,10,3.773053574705089,7.08,1.0,29,0,0.0,0
s02,12,3.800766735461731,9.0,4.99,29,0,0.0,0
s02,15,3.800733069587917,3.0,3.95,29,0,0.0,0
s02,16,4.14083728459635,9.0,3.0,29,0,0.0,0
s02,20,3.5079668591739632,1.0,1.0,29,0,0.0,0
s02,21,3.998716878857125,5.0,1.0,29,0,0.0,0
s02,22,3.3186793522908147,1.0,2.97,29,0,0.0,0
